id,Feature_ID,Stop_Name,Total_Daily_Alighting,board_daily_int_cta_evening,board_daily_int_cta_morning,board_daily_int_p_o_14_evening,board_daily_int_p_o_14_morning,board_daily_int_cta_m_evening,board_daily_int_cta_m_morning,board_daily_int_coop_evening,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_p_b_8_evening,board_alight_daily_int_cta_evening,board_alight_daily_int_cta_morning,board_alight_daily_int_p_o_14_evening,board_alight_daily_int_p_o_14_morning,board_alight_daily_int_cta_m_evening,board_alight_daily_int_cta_m_morning,board_alight_daily_int_coop_evening,board_alight_daily_int_coop_morning,board_alight_daily_int_p_b_8_morning,board_alight_daily_int_p_b_8_evening,daily_services_period_cta_evening,daily_services_period_cta_morning,daily_services_period_p_o_14_evening,daily_services_period_p_o_14_morning,daily_services_period_cta_m_evening,daily_services_period_cta_m_morning,daily_services_period_coop_evening,daily_services_period_coop_morning,daily_services_period_p_b_8_morning,daily_services_period_p_b_8_evening,routes_cta_evening,routes_cta_morning,routes_p_o_14_evening,routes_p_o_14_morning,routes_cta_m_evening,routes_cta_m_morning,routes_coop_evening,routes_coop_morning,routes_p_b_8_morning,routes_p_b_8_evening,daily_services_morning_all,daily_services_evening_all,daily_services_all,Morning_Formal_BA,Morning_Informal_BA,Morning_All_BA,Daily_Formal_BA,Daily_Informal_BA,Daily_All_BA,geometry,Total_Morning_Boarding,Total_Evening_Boarding,Total_Routes_At_Stop
cairo_maptis_daily_boarding__alighting__by_agency.1,1,(Mostorod Bridge) Ring Road,452.0,48.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,174.0,264.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,252.0,1760.0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,6,6,0,0,0,0,0,0,2124.0,1984.0,4108.0,174.0,106.0,280.0,278.0,370.0,648.0,POINT (336683.6846991951 3338102.9075534586),148.0,48.0,18
cairo_maptis_daily_boarding__alighting__by_agency.2,2,10 St. Steps (Ring Rd.),45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6,0,0,0,0,0,0,1196.0,0.0,1196.0,14.0,31.0,45.0,14.0,31.0,45.0,POINT (326850.2233298273 3331922.583349377),0.0,0.0,7
cairo_maptis_daily_boarding__alighting__by_agency.3,3,10th District (Nasr City),8875.0,480.0,104.0,6272.0,2898.0,636.0,893.0,0.0,0.0,0.0,0.0,972.0,1265.0,9672.0,5140.0,1524.0,1585.0,0.0,0.0,0.0,0.0,736.0,976.0,1888.0,1592.0,2192.0,3220.0,0.0,0.0,0.0,0.0,9,9,4,4,16,16,0,0,0,0,5788.0,4816.0,10604.0,2850.0,5140.0,7990.0,5346.0,14812.0,20158.0,POINT (343729.3272537765 3325311.5011734497),3895.0,7388.0,58
cairo_maptis_daily_boarding__alighting__by_agency.4,4,10th District (Shorouq City),238.0,96.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,104.0,128.0,232.0,156.0,0.0,156.0,412.0,0.0,412.0,POINT (370675.00373172376 3334452.4207521128),78.0,96.0,2
cairo_maptis_daily_boarding__alighting__by_agency.5,5,10th District Station (6th of October),192.0,100.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,368.0,352.0,720.0,138.0,0.0,138.0,430.0,0.0,430.0,POINT (298870.79926975304 3316662.1063622423),138.0,100.0,4
cairo_maptis_daily_boarding__alighting__by_agency.6,6,10th District Station (Nasr City),3137.0,56.0,40.0,0.0,0.0,172.0,265.0,0.0,0.0,0.0,0.0,108.0,156.0,1008.0,1274.0,604.0,520.0,0.0,0.0,0.0,0.0,208.0,232.0,288.0,364.0,1760.0,2260.0,0.0,0.0,0.0,0.0,4,4,1,1,15,15,0,0,0,0,2856.0,2256.0,5112.0,676.0,1274.0,1950.0,1388.0,2282.0,3670.0,,305.0,228.0,40
cairo_maptis_daily_boarding__alighting__by_agency.7,7,10th of Ramadan,1144.0,140.0,72.0,448.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,90.0,800.0,1376.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,144.0,128.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,0,0,0,316.0,256.0,572.0,90.0,1376.0,1466.0,230.0,2176.0,2406.0,POINT (346739.93796078017 3337023.283947667),674.0,588.0,6
cairo_maptis_daily_boarding__alighting__by_agency.8,8,10th of Ramadan (Ismailiya Desert Rd.),58.0,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,52.0,64.0,116.0,39.0,0.0,39.0,119.0,0.0,119.0,POINT (348112.3889636217 3336306.762586671),13.0,48.0,2
cairo_maptis_daily_boarding__alighting__by_agency.9,9,10th of Ramadan City,2608.0,0.0,0.0,1792.0,2576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.0,4416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,736.0,512.0,1248.0,0.0,4416.0,4416.0,0.0,6976.0,6976.0,POINT (379198.89726746746 3352156.7564057047),2576.0,1792.0,2
cairo_maptis_daily_boarding__alighting__by_agency.10,10,11th District Exit (Sheikh Zayed),29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,20.0,48.0,68.0,5.0,0.0,5.0,29.0,0.0,29.0,POINT (304954.73711266345 3325945.7243389203),0.0,0.0,2
